id,label
GCF_000275345,Helicobacter pylori Hp P-28b
GCF_000274825,Helicobacter pylori Hp P-3
GCF_000275405,Helicobacter pylori Hp P-30
GCF_000275525,Helicobacter pylori Hp P-3b
GCF_000274845,Helicobacter pylori Hp P-4
GCF_000275365,Helicobacter pylori Hp P-4c
GCF_000274745,Helicobacter pylori Hp P-4d
GCF_000275445,Helicobacter pylori Hp P-62
GCF_000274345,Helicobacter pylori Hp P-74
GCF_000274245,Helicobacter pylori Hp P-8
GCF_000274765,Helicobacter pylori Hp P-8b
GCF_000345725-HMP,Helicobacter pylori HP116Bi
GCF_000345745-HMP,Helicobacter pylori HP250AFii
GCF_000345765-HMP,Helicobacter pylori HP250AFiii
GCF_000345785-HMP,Helicobacter pylori HP250AFiV
GCF_000345805-HMP,Helicobacter pylori HP250ASi
GCF_000345825-HMP,Helicobacter pylori HP250ASii
GCF_000345845-HMP,Helicobacter pylori HP250BFi
GCF_000345865-HMP,Helicobacter pylori HP250BFii
GCF_000345885,Helicobacter pylori HP250BFiii
GCF_000345885-HMP,Helicobacter pylori HP250BFiii
GCF_000345905-HMP,Helicobacter pylori HP250BFiV
GCF_000345925,Helicobacter pylori HP250BSi
GCF_000345925-HMP,Helicobacter pylori HP250BSi
GCF_000345945,Helicobacter pylori HP260AFi
GCF_000345945-HMP,Helicobacter pylori HP260AFi
GCF_000345965,Helicobacter pylori HP260AFii
GCF_000345965-HMP,Helicobacter pylori HP260AFii
GCF_000345985,Helicobacter pylori HP260ASii
GCF_000345985-HMP,Helicobacter pylori HP260ASii
GCF_000346005,Helicobacter pylori HP260BFii
GCF_000346005-HMP,Helicobacter pylori HP260BFii
GCF_000346025,Helicobacter pylori HP260Bi
GCF_000346025-HMP,Helicobacter pylori HP260Bi
GCF_000258825,Helicobacter pylori HP2RS
HPYL357544,Helicobacter pylori HPAG1
HPYL499171,Helicobacter pylori HPKX_438_AG0C1
HPYL499172,Helicobacter pylori HPKX_438_CA4C1
HPYL1163743,Helicobacter pylori HUP-B14
HPYL907238,Helicobacter pylori India7
HPYL85963,Helicobacter pylori J99
HPYL907237,Helicobacter pylori Lithuania75
GCF_000285895,Helicobacter pylori N6
GCF_000256075,Helicobacter pylori NAB47
GCF_000256035,Helicobacter pylori NAD1
GCF_900478295,Helicobacter pylori NCTC 11637 (SC)
GCF_000285235,Helicobacter pylori NQ1671
GCF_000285135,Helicobacter pylori NQ1701
GCF_000285175,Helicobacter pylori NQ1707
GCF_000285095,Helicobacter pylori NQ1712
GCF_000285075,Helicobacter pylori NQ315
GCF_000285115,Helicobacter pylori NQ352
GCF_000285215,Helicobacter pylori NQ367
GCF_000285155,Helicobacter pylori NQ392
GCF_000274625,Helicobacter pylori NQ4044
GCF_000274605,Helicobacter pylori NQ4053
GCF_000285195,Helicobacter pylori NQ4060
GCF_000274585,Helicobacter pylori NQ4076
GCF_000274565,Helicobacter pylori NQ4099
GCF_000274545,Helicobacter pylori NQ4110
GCF_000274525,Helicobacter pylori NQ4161
GCF_000285255,Helicobacter pylori NQ4191
GCF_000274905,Helicobacter pylori NQ4200
GCF_000274945,Helicobacter pylori NQ4216
GCF_000274925,Helicobacter pylori NQ4228
HPYL1248725,Helicobacter pylori OK113
HPYL1248726,Helicobacter pylori OK310
HPYL570508,Helicobacter pylori P12
HPY-PANGENOME-NEW,Helicobacter pylori Pan-Genome
HPYL1163742,Helicobacter pylori PeCan18
HPYL765963,Helicobacter pylori PeCan4
GCF_001991095,Helicobacter pylori PMSS1
GCF_000224535,Helicobacter pylori Puno120
HPYL1055529,Helicobacter pylori Puno135
GCF_000299855,Helicobacter pylori R018c
GCF_000299695,Helicobacter pylori R030b
GCF_000299715,Helicobacter pylori R036d
GCF_000299775,Helicobacter pylori R046Wa
GCF_000299795,Helicobacter pylori R055a
HPYL1234365,Helicobacter pylori Rif1
HPYL1234600,Helicobacter pylori Rif2
HPYL1055530,Helicobacter pylori Santal49
GCF_000148915,Helicobacter pylori Sat464
HPYL1163740,Helicobacter pylori Shi112
HPYL1163741,Helicobacter pylori Shi169
HPYL1163739,Helicobacter pylori Shi417
HPYL512562,Helicobacter pylori Shi470
HPYL765962,Helicobacter pylori SJM180
HPYL1352356,Helicobacter pylori SouthAfrica20
HPYL907239,Helicobacter pylori SouthAfrica7
GCF_002005525,Helicobacter pylori SS1
HPYL1311573,Helicobacter pylori UM032
HPYL1321939,Helicobacter pylori UM037
HPYL1321940,Helicobacter pylori UM066
HPYL1321941,Helicobacter pylori UM298
GCF_000392475,Helicobacter pylori UM299
GCF_000349465,Helicobacter pylori UMB_G1
HPYL637913,Helicobacter pylori v225d
GCF_000262655,Helicobacter pylori XZ274
